antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['Peralatan Makan'],['Saringan / Strainer'],0.01793937068303914,0.020337682271680736,0.0010552570990023024,0.05882352941176471,2.892341842397337,1.0,0.0006904118778967482,1.0408912125863392,0.6662108039464687,0.028350515463917526,0.03928480910578098,0.05535516093229745
['Saringan / Strainer'],['Peralatan Makan'],0.020337682271680736,0.01793937068303914,0.0010552570990023024,0.05188679245283019,2.892341842397337,1.0,0.0006904118778967482,1.0358052408716205,0.6678417547982766,0.028350515463917526,0.03456754171420357,0.05535516093229745
['Keranjang'],['Plastik / Wadah Plastik'],0.03443975441289332,0.012231389102072141,0.0011032233307751342,0.03203342618384401,2.6189524277677645,1.0,0.00068197729397123,1.02045735629455,0.640216851335882,0.024210526315789477,0.02004724270775409,0.06111475230760828
['Plastik / Wadah Plastik'],['Keranjang'],0.012231389102072141,0.03443975441289332,0.0011032233307751342,0.09019607843137255,2.6189524277677645,1.0,0.00068197729397123,1.0612838906237594,0.625822620181193,0.024210526315789477,0.0577450493361776,0.06111475230760828
['Botol / Gelas / Mug'],['Other'],0.02168073676132003,0.043073676132003066,0.0022544128933231007,0.10398230088495576,2.4140568027277927,1.0,0.0013205438597627887,1.0679770330576164,0.5987406792320563,0.03607060629316962,0.06365027613280991,0.07816041547588545
['Other'],['Botol / Gelas / Mug'],0.043073676132003066,0.02168073676132003,0.0022544128933231007,0.05233853006681515,2.4140568027277927,1.0,0.0013205438597627887,1.032350996931063,0.6121260598304272,0.03607060629316962,0.03133720704221231,0.07816041547588545
['Saringan / Strainer'],['Other'],0.020337682271680736,0.043073676132003066,0.002110514198004605,0.10377358490566038,2.4092112451149306,1.0,0.0012344954585586485,1.0677283192632387,0.5970694014172276,0.03442879499217528,0.06343216531895778,0.07638567886708408
['Other'],['Saringan / Strainer'],0.043073676132003066,0.020337682271680736,0.002110514198004605,0.0489977728285078,2.4092112451149306,1.0,0.0012344954585586485,1.0301367228571787,0.6112554112554114,0.03442879499217528,0.02925507089349445,0.07638567886708408
['Peralatan Makan'],['Keranjang'],0.01793937068303914,0.03443975441289332,0.0013910207214121258,0.07754010695187166,2.2514709606303906,1.0,0.0007731932007663995,1.0467232807234141,0.5659996025236381,0.02728127939793039,0.04463766267921612,0.05896503954835923
['Keranjang'],['Peralatan Makan'],0.03443975441289332,0.01793937068303914,0.0013910207214121258,0.0403899721448468,2.2514709606303906,1.0,0.0007731932007663995,1.023395546951492,0.575671925587132,0.02728127939793039,0.022860708179924104,0.05896503954835923
['Perlengkapan Packing'],['Other'],0.01544512663085188,0.043073676132003066,0.0014869531849577898,0.09627329192546585,2.2350841760157154,1.0,0.0008216748026427002,1.058866928816134,0.5612582625340639,0.026072329688814132,0.05559426516602066,0.0653972250273209
['Other'],['Perlengkapan Packing'],0.043073676132003066,0.01544512663085188,0.0014869531849577898,0.03452115812917595,2.235084176015715,1.0,0.0008216748026427002,1.019758104135519,0.5774630123696338,0.026072329688814132,0.019375285232244965,0.0653972250273209
['Baskom / Mangkok Besar'],['Perlengkapan Packing'],0.036454336147352266,0.01544512663085188,0.001199155794320798,0.03289473684210526,2.129780974174567,1.0,0.0006361139562813013,1.018043134368099,0.5505376344086022,0.02365184484389782,0.01772334958999369,0.05526724419745015
['Perlengkapan Packing'],['Baskom / Mangkok Besar'],0.01544512663085188,0.036454336147352266,0.001199155794320798,0.07763975155279502,2.1297809741745666,1.0,0.0006361139562813013,1.0446522012139816,0.5387898275358083,0.02365184484389782,0.04274360515594736,0.05526724419745015
['Other'],['Baskom / Mangkok Besar'],0.043073676132003066,0.036454336147352266,0.002542210283960092,0.05902004454342985,1.6190130113702967,1.0,0.000971988015141868,1.023981072354648,0.3995498179410791,0.03302180685358256,0.023419448857100032,0.0643784433243465
['Baskom / Mangkok Besar'],['Other'],0.036454336147352266,0.043073676132003066,0.002542210283960092,0.06973684210526315,1.6190130113702965,1.0,0.000971988015141868,1.0286619605936034,0.39680500139010993,0.03302180685358256,0.027863342566943672,0.0643784433243465
['Keranjang'],['Other'],0.03443975441289332,0.043073676132003066,0.0023503453568687644,0.06824512534818943,1.5843812619811284,1.0,0.000866898529222074,1.0270150979629622,0.38199458621004295,0.031269942565411615,0.026304479862609184,0.061405413453604736
['Other'],['Keranjang'],0.043073676132003066,0.03443975441289332,0.0023503453568687644,0.05456570155902005,1.5843812619811282,1.0,0.000866898529222074,1.0212875153559737,0.38544115390517114,0.031269942565411615,0.02084380258829856,0.061405413453604736
['Baskom / Mangkok Besar'],['Saringan / Strainer'],0.036454336147352266,0.020337682271680736,0.0011511895625479663,0.031578947368421054,1.552730883813307,1.0,0.0004097928565580699,1.0116078280890253,0.3694411257135272,0.020689655172413793,0.011474632527264108,0.04409136047666336
['Saringan / Strainer'],['Baskom / Mangkok Besar'],0.020337682271680736,0.036454336147352266,0.0011511895625479663,0.05660377358490566,1.5527308838133067,1.0,0.0004097928565580699,1.0213584036838066,0.3633633633633634,0.020689655172413793,0.020911761832841158,0.04409136047666336
['Perlengkapan Packing'],['Nampan / Tray'],0.01544512663085188,0.07262087490406753,0.0017267843438219493,0.11180124223602485,1.5395193514773093,1.0,0.0006051457348853729,1.0441121618212945,0.35594422250370805,0.020000000000000004,0.04224848961087443,0.06778965678511943
['Nampan / Tray'],['Perlengkapan Packing'],0.07262087490406753,0.01544512663085188,0.0017267843438219493,0.023778071334214005,1.5395193514773093,1.0,0.0006051457348853729,1.0085359122333495,0.37788926818615454,0.020000000000000004,0.008463667113694513,0.06778965678511943
['Peralatan Makan'],['Mangkok Sambal / Saus'],0.01793937068303914,0.18956254796623176,0.003837298541826554,0.21390374331550804,1.1284071965186517,1.0,0.00043666572623893545,1.030964649866086,0.11587379114975103,0.018841262364578427,0.03003463782207102,0.11707332914763256
['Mangkok Sambal / Saus'],['Peralatan Makan'],0.18956254796623176,0.01793937068303914,0.003837298541826554,0.020242914979757085,1.1284071965186517,1.0,0.00043666572623893545,1.002351138187146,0.14041193181818196,0.018841262364578427,0.0023456233026265387,0.11707332914763256
['Sapu / Pembersih Lantai'],['Celengan'],0.005276285495011512,0.2815138142747506,0.0014869531849577898,0.2818181818181818,1.0010811815548568,1.0,1.6059300545585506e-06,1.000423802908575,0.001085742551463885,0.005211835911230665,0.0004236233757563257,0.14355008596787433
['Keranjang'],['Rak / Rak Serbaguna'],0.03443975441289332,0.031801611665387565,0.0010072908672294704,0.029247910863509752,0.9196990130957033,1.0,-8.794882846068072e-05,0.9973693584279079,-0.08292765470023164,0.01544117647058824,-0.0026375800999528685,0.030461059504153065
['Rak / Rak Serbaguna'],['Keranjang'],0.031801611665387565,0.03443975441289332,0.0010072908672294704,0.03167420814479638,0.9196990130957033,1.0,-8.794882846068072e-05,0.9971439919380868,-0.08272038536195843,0.01544117647058824,-0.0028641882065218597,0.030461059504153065
['Saringan / Strainer'],['Nampan / Tray'],0.020337682271680736,0.07262087490406753,0.001295088257866462,0.06367924528301887,0.8768724608060617,1.0,-0.0001818520222239368,0.9904502494727339,-0.12536321071931583,0.014128728414442699,-0.009641827575236503,0.040756399391839684
['Nampan / Tray'],['Saringan / Strainer'],0.07262087490406753,0.020337682271680736,0.001295088257866462,0.0178335535006605,0.8768724608060616,1.0,-0.0001818520222239368,0.9974504028518328,-0.1315014524388661,0.014128728414442699,-0.002556114209666562,0.040756399391839684
['Mangkok Sambal / Saus'],['Botol / Gelas / Mug'],0.18956254796623176,0.02168073676132003,0.0035974673829623945,0.01897773279352227,0.8753269320339652,1.0,-0.0005123883192985779,0.9972447068143573,-0.14947540244203644,0.017325017325017327,-0.002762905801169235,0.09245346816667264
['Botol / Gelas / Mug'],['Mangkok Sambal / Saus'],0.02168073676132003,0.18956254796623176,0.0035974673829623945,0.16592920353982302,0.8753269320339652,1.0,-0.0005123883192985779,0.9716650618548097,-0.12708485029707753,0.017325017325017327,-0.02916121949584336,0.09245346816667264
['Celengan'],['Perlengkapan Packing'],0.2815138142747506,0.01544512663085188,0.0037413660782808903,0.013290168682910206,0.8604765114947577,1.0,-0.0006066504315267499,0.997816016543521,-0.1841252594208525,0.012759692458694585,-0.0021887636801465465,0.12776309676381536
['Perlengkapan Packing'],['Celengan'],0.01544512663085188,0.2815138142747506,0.0037413660782808903,0.2422360248447205,0.8604765114947577,1.0,-0.0006066504315267499,0.9481661959161077,-0.14140275497103558,0.012759692458694585,-0.05466742466368029,0.12776309676381536
['Botol / Gelas / Mug'],['Nampan / Tray'],0.02168073676132003,0.07262087490406753,0.001199155794320798,0.05530973451327433,0.761623081329421,1.0,-0.000375318277851042,0.9816753267994414,-0.24237921750655242,0.012879958784131892,-0.0186667350195126,0.03591114202546147
['Nampan / Tray'],['Botol / Gelas / Mug'],0.07262087490406753,0.02168073676132003,0.001199155794320798,0.016512549537648614,0.761623081329421,1.0,-0.000375318277851042,0.9947450399888257,-0.252333412737943,0.012879958784131892,-0.005282720496131677,0.03591114202546147
['Baskom / Mangkok Besar'],['Nampan / Tray'],0.036454336147352266,0.07262087490406753,0.0016308518802762855,0.04473684210526315,0.6160328165195021,1.0,-0.0010164939047914105,0.9708101034062103,-0.3927880512091038,0.01517857142857143,-0.03006756572822353,0.03359695473823263
['Nampan / Tray'],['Baskom / Mangkok Besar'],0.07262087490406753,0.036454336147352266,0.0016308518802762855,0.022457067371202115,0.6160328165195021,1.0,-0.0010164939047914105,0.9856811723465599,-0.40194911769308306,0.01517857142857143,-0.014526834898704618,0.03359695473823263
['Mangkok Sambal / Saus'],['Other'],0.18956254796623176,0.043073676132003066,0.0045088257866462015,0.023785425101214577,0.5522032767373292,1.0,-0.003656330011208562,0.9802417915827694,-0.5001510665296995,0.01976450798990749,-0.020156464034580372,0.06423124261742244
['Other'],['Mangkok Sambal / Saus'],0.043073676132003066,0.18956254796623176,0.0045088257866462015,0.1046770601336303,0.5522032767373292,1.0,-0.003656330011208562,0.9051900894606019,-0.4587072706931248,0.01976450798990749,-0.10474033205102243,0.06423124261742244
['Nampan / Tray'],['Other'],0.07262087490406753,0.043073676132003066,0.0017267843438219493,0.023778071334214005,0.5520325514205943,1.0,-0.0014012637022185646,0.9802344075346058,-0.4666760659214691,0.015151515151515152,-0.02016414881324844,0.031933579096951104
['Other'],['Nampan / Tray'],0.043073676132003066,0.07262087490406753,0.0017267843438219493,0.0400890868596882,0.5520325514205942,1.0,-0.0014012637022185646,0.9661095757959945,-0.458878699018417,0.015151515151515152,-0.03507927573958934,0.031933579096951104
['Perlengkapan Packing'],['Mangkok Sambal / Saus'],0.01544512663085188,0.18956254796623176,0.0015828856485034536,0.10248447204968945,0.5406367088289287,1.0,-0.001344931909301929,0.902978752785029,-0.4632313668558494,0.007781183683093611,-0.10744576980990021,0.05541733723941963
['Plastik / Wadah Plastik'],['Mangkok Sambal / Saus'],0.012231389102072141,0.18956254796623176,0.0012471220260936301,0.10196078431372549,0.537874097007224,1.0,-0.0010714912572615644,0.9024521845790869,-0.46518633943643667,0.006218607988519493,-0.10809194890077241,0.054269865841073274
['Aksesoris Pintu'],['Other'],0.14207597851112816,0.043073676132003066,0.002590176515732924,0.01823092505064146,0.4232498056300369,1.0,-0.0035295581687928377,0.9746959323579804,-0.6136512731566669,0.01418812401471361,-0.02596098619269307,0.039182277670086876
['Other'],['Aksesoris Pintu'],0.043073676132003066,0.14207597851112816,0.002590176515732924,0.060133630289532294,0.4232498056300369,1.0,-0.0035295581687928377,0.912814894901667,-0.5874601360810973,0.01418812401471361,-0.0955123602663441,0.039182277670086876
['Saringan / Strainer'],['Mangkok Sambal / Saus'],0.020337682271680736,0.18956254796623176,0.0016308518802762855,0.08018867924528301,0.4230196318081125,1.0,-0.0022244109908711755,0.8810909734931225,-0.5819873443323991,0.007830492860432981,-0.13495658233276156,0.04439595905583989
['Botol / Gelas / Mug'],['Aksesoris Pintu'],0.02168073676132003,0.14207597851112816,0.001295088257866462,0.05973451327433628,0.4204406255041738,1.0,-0.001785223632340269,0.9124274299128707,-0.5848909258114606,0.007971656333038086,-0.0959775728087128,0.03442498789982851
['Keranjang'],['Nampan / Tray'],0.03443975441289332,0.07262087490406753,0.0010072908672294704,0.029247910863509752,0.40274798261720696,1.0,-0.0014937542297160631,0.9553202465120223,-0.6056527490405551,0.009497964721845319,-0.04676939869233209,0.021559226237567293
['Nampan / Tray'],['Keranjang'],0.07262087490406753,0.03443975441289332,0.0010072908672294704,0.013870541611624836,0.40274798261720696,1.0,-0.0014937542297160631,0.9791414680635495,-0.6152466979639102,0.009497964721845319,-0.021302878712411596,0.021559226237567293
['Plastik / Wadah Plastik'],['Celengan'],0.012231389102072141,0.2815138142747506,0.001199155794320798,0.09803921568627451,0.34825721053458014,1.0,-0.0022441492056821466,0.7965825102606026,-0.6545308746359597,0.00409903262829972,-0.2553627365893951,0.05114944256796261
['Celengan'],['Other'],0.2815138142747506,0.043073676132003066,0.0034535686876438986,0.012267848014994035,0.28481079667772347,1.0,-0.008672266175111569,0.9688115568020138,-0.777530150827366,0.01075429424943988,-0.032192476420220766,0.046223010867185214
['Other'],['Celengan'],0.043073676132003066,0.2815138142747506,0.0034535686876438986,0.0801781737193764,0.28481079667772347,1.0,-0.008672266175111569,0.781114521526966,-0.7240720086766329,0.01075429424943988,-0.28022200642889655,0.046223010867185214
['Keranjang'],['Celengan'],0.03443975441289332,0.2815138142747506,0.002638142747505756,0.07660167130919221,0.2721062605987458,1.0,-0.007057123879953515,0.7780891121428793,-0.7347795590894324,0.008420085731781997,-0.28519983687468864,0.04298647204921188
['Keranjang'],['Aksesoris Pintu'],0.03443975441289332,0.14207597851112816,0.0011511895625479663,0.033426183844011144,0.23526977744089952,1.0,-0.003741872245346796,0.8875928637305619,-0.7709771678761251,0.0065645514223194755,-0.12664267691043585,0.020764408599925895
['Botol / Gelas / Mug'],['Celengan'],0.02168073676132003,0.2815138142747506,0.001343054489639294,0.061946902654867256,0.22004924630238074,1.0,-0.004760372412326711,0.7659333866693696,-0.7836896033986179,0.004449388209121246,-0.3055965667568815,0.033358866219238024
['Saringan / Strainer'],['Celengan'],0.020337682271680736,0.2815138142747506,0.001199155794320798,0.0589622641509434,0.20944714312810836,1.0,-0.0045261827154880205,0.7635041171616685,-0.793934756499167,0.003988513082322909,-0.3097506320168992,0.031610966800297055
['Keranjang'],['Mangkok Sambal / Saus'],0.03443975441289332,0.18956254796623176,0.001295088257866462,0.037604456824512536,0.198374928106639,1.0,-0.005233399339972871,0.8421043278730038,-0.807139435445239,0.005815205685978893,-0.18750131889929936,0.022218220315090277
['Baskom / Mangkok Besar'],['Mangkok Sambal / Saus'],0.036454336147352266,0.18956254796623176,0.0012471220260936301,0.03421052631578947,0.1804709141274238,1.0,-0.00566325481841597,0.8391450457025393,-0.8249564308121295,0.0055484421681604775,-0.1916890948963317,0.02039473684210526
['Mangkok Sambal / Saus'],['Nampan / Tray'],0.18956254796623176,0.07262087490406753,0.0020625479662317726,0.010880566801619434,0.14982698591820473,1.0,-0.011703650116120245,0.9375805327140253,-0.8750251144254508,0.007929190484971418,-0.06657504620460525,0.019641076003187524
['Nampan / Tray'],['Mangkok Sambal / Saus'],0.07262087490406753,0.18956254796623176,0.0020625479662317726,0.028401585204755612,0.1498269859182047,1.0,-0.011703650116120245,0.8341280097750682,-0.8595251347278728,0.007929190484971418,-0.19885675613466233,0.019641076003187524
